Interesse Principal na Campus Party Brasil,Participou de Edições Anteriores,Frequência em Eventos de Tecnologia,Formato de Evento Preferido,Atividades Atraentes,Importância da Diversidade de Temas,Idade,Área Mais Promissora para o Futuro,Interessado em Participar de uma Comunidade Online,Melhorias para Experiência na Campus Party Brasil
Profissionais de TI,Sim,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Competições de gaming', 'Palestras', 'Networking', 'Hackathons', 'Workshops', 'Atividades para crianças']",Pouco importante,24,Robótica,Sim,"['Maior diversidade de palestrantes', 'Outro', 'Mais oportunidades de networking', 'Melhor estrutura física', 'Mais workshops práticos', 'Maior variedade de temas abordados', 'Mais competições e desafios']"
Empreendedores,Não,Regularmente (mais de 3 vezes por ano),Online,"['Palestras', 'Workshops']",Importante,24,Inteligência Artificial,Não,"['Maior variedade de temas abordados', 'Mais competições e desafios', 'Mais oportunidades de networking', 'Maior diversidade de palestrantes', 'Mais workshops práticos', 'Melhor estrutura física']"
Entusiastas de Hardware e Robótica,Não,Nunca participei,Presencial,['Exposições de tecnologia'],Importante,24,Inteligência Artificial,Não,['Maior variedade de temas abordados']
Entusiastas de Hardware e Robótica,Sim,Nunca participei,Presencial,"['Workshops', 'Networking', 'Competições de gaming', 'Exposições de tecnologia', 'Palestras', 'Hackathons']",Pouco importante,33,Realidade Virtual e Aumentada,Não,"['Maior diversidade de palestrantes', 'Maior variedade de temas abordados', 'Melhor estrutura física']"
Cientistas e Pesquisadores,Sim,Regularmente (mais de 3 vezes por ano),Híbrido (Combinação de presencial e online),"['Atividades para crianças', 'Hackathons']",Pouco importante,16,Blockchain,Sim,"['Mais competições e desafios', 'Mais oportunidades de networking', 'Mais workshops práticos', 'Melhor estrutura física', 'Outro', 'Maior diversidade de palestrantes']"
Makers,Não,Raramente (menos de 1 vez por ano),Online,"['Networking', 'Hackathons']",Importante,27,Robótica,Não,['Mais workshops práticos']
Produtores de Conteúdo,Sim,Regularmente (mais de 3 vezes por ano),Híbrido (Combinação de presencial e online),"['Competições de gaming', 'Palestras', 'Networking']",Pouco importante,30,Robótica,Não,"['Outro', 'Mais workshops práticos', 'Melhor estrutura física', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados']"
Estudantes e Acadêmicos,Sim,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),['Hackathons'],Importante,33,Outra,Sim,"['Maior diversidade de palestrantes', 'Outro', 'Mais competições e desafios', 'Melhor estrutura física', 'Mais workshops práticos', 'Maior variedade de temas abordados']"
Produtores de Conteúdo,Não,Nunca participei,Presencial,"['Exposições de tecnologia', 'Networking', 'Workshops', 'Palestras', 'Hackathons', 'Competições de gaming', 'Atividades para crianças']",Pouco importante,22,Robótica,Sim,"['Melhor estrutura física', 'Maior diversidade de palestrantes', 'Mais oportunidades de networking', 'Maior variedade de temas abordados']"
Profissionais de TI,Sim,Raramente (menos de 1 vez por ano),Online,"['Atividades para crianças', 'Hackathons', 'Workshops', 'Palestras']",Pouco importante,25,Internet das Coisas (IoT),Sim,"['Maior variedade de temas abordados', 'Mais oportunidades de networking', 'Melhor estrutura física']"
Profissionais de TI,Sim,Nunca participei,Não tenho preferência,"['Competições de gaming', 'Workshops', 'Atividades para crianças', 'Hackathons']",Indiferente,22,Realidade Virtual e Aumentada,Não,"['Outro', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes', 'Mais competições e desafios']"
Crianças Makers,Sim,Raramente (menos de 1 vez por ano),Online,"['Exposições de tecnologia', 'Hackathons', 'Workshops', 'Networking', 'Competições de gaming', 'Palestras', 'Atividades para crianças']",Muito importante,27,Blockchain,Não,"['Mais oportunidades de networking', 'Mais workshops práticos', 'Maior diversidade de palestrantes', 'Mais competições e desafios', 'Melhor estrutura física', 'Outro']"
Estudantes e Acadêmicos,Sim,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Networking', 'Hackathons', 'Exposições de tecnologia']",Pouco importante,23,Inteligência Artificial,Não,"['Maior diversidade de palestrantes', 'Mais competições e desafios']"
Makers,Não,Nunca participei,Híbrido (Combinação de presencial e online),"['Workshops', 'Hackathons', 'Competições de gaming', 'Networking']",Pouco importante,26,Realidade Virtual e Aumentada,Sim,"['Melhor estrutura física', 'Outro', 'Mais competições e desafios', 'Mais workshops práticos', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados']"
Empreendedores,Não,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Workshops', 'Exposições de tecnologia']",Importante,25,Internet das Coisas (IoT),Sim,"['Mais workshops práticos', 'Melhor estrutura física', 'Outro', 'Mais competições e desafios']"
Empreendedores,Não,Raramente (menos de 1 vez por ano),Presencial,"['Atividades para crianças', 'Workshops', 'Exposições de tecnologia', 'Networking', 'Competições de gaming']",Indiferente,21,Inteligência Artificial,Não,"['Maior diversidade de palestrantes', 'Melhor estrutura física', 'Mais workshops práticos']"
Makers,Não,Regularmente (mais de 3 vezes por ano),Online,"['Palestras', 'Networking', 'Workshops', 'Competições de gaming', 'Exposições de tecnologia']",Muito importante,20,Robótica,Não,"['Outro', 'Melhor estrutura física', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados', 'Mais competições e desafios']"
Makers,Sim,Regularmente (mais de 3 vezes por ano),Online,['Atividades para crianças'],Indiferente,27,Internet das Coisas (IoT),Não,['Mais competições e desafios']
Produtores de Conteúdo,Sim,Ocasionalmente (1 a 3 vezes por ano),Híbrido (Combinação de presencial e online),['Exposições de tecnologia'],Importante,32,Robótica,Sim,['Mais oportunidades de networking']
Crianças Makers,Sim,Nunca participei,Híbrido (Combinação de presencial e online),"['Networking', 'Atividades para crianças', 'Exposições de tecnologia', 'Palestras', 'Hackathons', 'Competições de gaming', 'Workshops']",Pouco importante,30,Outra,Sim,"['Maior diversidade de palestrantes', 'Mais workshops práticos', 'Melhor estrutura física', 'Outro', 'Maior variedade de temas abordados', 'Mais competições e desafios']"
Gamers,Sim,Ocasionalmente (1 a 3 vezes por ano),Híbrido (Combinação de presencial e online),"['Hackathons', 'Workshops', 'Atividades para crianças', 'Palestras', 'Competições de gaming', 'Exposições de tecnologia']",Indiferente,19,Internet das Coisas (IoT),Sim,"['Melhor estrutura física', 'Mais workshops práticos', 'Outro', 'Mais oportunidades de networking', 'Mais competições e desafios', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes']"
Crianças Makers,Não,Raramente (menos de 1 vez por ano),Presencial,"['Workshops', 'Networking', 'Exposições de tecnologia', 'Palestras', 'Hackathons']",Importante,23,Realidade Virtual e Aumentada,Não,"['Mais workshops práticos', 'Mais oportunidades de networking', 'Outro', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes', 'Mais competições e desafios']"
Entusiastas de Hardware e Robótica,Sim,Regularmente (mais de 3 vezes por ano),Híbrido (Combinação de presencial e online),"['Networking', 'Competições de gaming', 'Exposições de tecnologia', 'Hackathons', 'Atividades para crianças']",Pouco importante,27,Realidade Virtual e Aumentada,Não,"['Mais workshops práticos', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados', 'Melhor estrutura física', 'Outro', 'Mais competições e desafios', 'Mais oportunidades de networking']"
Desenvolvedores,Sim,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Competições de gaming', 'Workshops', 'Exposições de tecnologia', 'Networking', 'Hackathons', 'Atividades para crianças']",Importante,26,Inteligência Artificial,Sim,"['Melhor estrutura física', 'Maior diversidade de palestrantes']"
Gamers,Sim,Nunca participei,Presencial,"['Networking', 'Palestras', 'Hackathons', 'Competições de gaming', 'Workshops', 'Atividades para crianças', 'Exposições de tecnologia']",Muito importante,24,Inteligência Artificial,Não,['Maior diversidade de palestrantes']
Empreendedores,Sim,Ocasionalmente (1 a 3 vezes por ano),Presencial,"['Competições de gaming', 'Palestras', 'Atividades para crianças', 'Workshops', 'Hackathons', 'Exposições de tecnologia']",Indiferente,30,Blockchain,Não,['Mais workshops práticos']
Empreendedores,Sim,Nunca participei,Não tenho preferência,"['Atividades para crianças', 'Competições de gaming', 'Workshops', 'Palestras', 'Exposições de tecnologia', 'Networking', 'Hackathons']",Pouco importante,27,Blockchain,Sim,"['Mais workshops práticos', 'Mais competições e desafios', 'Mais oportunidades de networking']"
Entusiastas de Hardware e Robótica,Sim,Regularmente (mais de 3 vezes por ano),Online,"['Atividades para crianças', 'Competições de gaming']",Pouco importante,33,Inteligência Artificial,Sim,"['Mais competições e desafios', 'Outro', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados', 'Mais oportunidades de networking']"
Profissionais de TI,Não,Regularmente (mais de 3 vezes por ano),Presencial,"['Hackathons', 'Palestras', 'Atividades para crianças']",Pouco importante,27,Blockchain,Não,"['Mais competições e desafios', 'Melhor estrutura física', 'Mais oportunidades de networking']"
Crianças Makers,Sim,Raramente (menos de 1 vez por ano),Online,"['Hackathons', 'Networking', 'Palestras', 'Competições de gaming', 'Exposições de tecnologia']",Pouco importante,31,Blockchain,Sim,"['Outro', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados']"
Estudantes e Acadêmicos,Sim,Regularmente (mais de 3 vezes por ano),Online,"['Networking', 'Palestras', 'Atividades para crianças', 'Workshops', 'Exposições de tecnologia', 'Hackathons']",Importante,28,Blockchain,Sim,"['Mais workshops práticos', 'Melhor estrutura física']"
Empreendedores,Não,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Competições de gaming', 'Atividades para crianças', 'Workshops']",Importante,25,Realidade Virtual e Aumentada,Sim,"['Outro', 'Mais competições e desafios', 'Maior variedade de temas abordados']"
Gamers,Sim,Regularmente (mais de 3 vezes por ano),Online,"['Workshops', 'Exposições de tecnologia', 'Palestras', 'Atividades para crianças', 'Networking', 'Competições de gaming']",Importante,19,Blockchain,Não,"['Maior diversidade de palestrantes', 'Mais oportunidades de networking', 'Melhor estrutura física', 'Maior variedade de temas abordados', 'Mais competições e desafios', 'Outro']"
Produtores de Conteúdo,Sim,Raramente (menos de 1 vez por ano),Online,"['Networking', 'Atividades para crianças', 'Workshops', 'Palestras']",Muito importante,19,Blockchain,Sim,"['Melhor estrutura física', 'Mais competições e desafios']"
Estudantes e Acadêmicos,Sim,Regularmente (mais de 3 vezes por ano),Híbrido (Combinação de presencial e online),['Atividades para crianças'],Indiferente,28,Internet das Coisas (IoT),Não,"['Maior diversidade de palestrantes', 'Melhor estrutura física', 'Mais workshops práticos', 'Maior variedade de temas abordados', 'Mais competições e desafios']"
Crianças Makers,Sim,Nunca participei,Online,"['Exposições de tecnologia', 'Palestras', 'Atividades para crianças', 'Networking', 'Workshops']",Muito importante,14,Realidade Virtual e Aumentada,Sim,"['Mais oportunidades de networking', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes', 'Outro', 'Melhor estrutura física', 'Mais competições e desafios']"
Cientistas e Pesquisadores,Não,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Palestras', 'Exposições de tecnologia', 'Networking', 'Atividades para crianças']",Indiferente,24,Inteligência Artificial,Sim,['Maior variedade de temas abordados']
Produtores de Conteúdo,Não,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Networking', 'Atividades para crianças', 'Hackathons', 'Competições de gaming', 'Exposições de tecnologia', 'Workshops']",Indiferente,18,Outra,Não,"['Mais oportunidades de networking', 'Maior diversidade de palestrantes', 'Melhor estrutura física', 'Outro', 'Maior variedade de temas abordados']"
Makers,Não,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Networking', 'Palestras']",Importante,21,Blockchain,Não,"['Outro', 'Mais competições e desafios', 'Maior variedade de temas abordados', 'Melhor estrutura física']"
Profissionais de TI,Não,Nunca participei,Online,['Competições de gaming'],Muito importante,26,Inteligência Artificial,Sim,"['Mais workshops práticos', 'Melhor estrutura física', 'Maior diversidade de palestrantes', 'Mais oportunidades de networking', 'Maior variedade de temas abordados', 'Outro']"
Crianças Makers,Não,Ocasionalmente (1 a 3 vezes por ano),Híbrido (Combinação de presencial e online),"['Competições de gaming', 'Exposições de tecnologia']",Muito importante,35,Outra,Sim,"['Melhor estrutura física', 'Mais oportunidades de networking']"
Cientistas e Pesquisadores,Sim,Regularmente (mais de 3 vezes por ano),Híbrido (Combinação de presencial e online),"['Palestras', 'Networking', 'Exposições de tecnologia', 'Workshops', 'Hackathons']",Muito importante,27,Robótica,Sim,"['Mais oportunidades de networking', 'Mais competições e desafios', 'Maior diversidade de palestrantes', 'Outro']"
Cientistas e Pesquisadores,Sim,Ocasionalmente (1 a 3 vezes por ano),Online,['Atividades para crianças'],Indiferente,27,Blockchain,Sim,"['Mais workshops práticos', 'Maior variedade de temas abordados']"
Empreendedores,Não,Raramente (menos de 1 vez por ano),Presencial,"['Workshops', 'Competições de gaming', 'Networking']",Indiferente,20,Outra,Não,"['Mais oportunidades de networking', 'Maior diversidade de palestrantes']"
Entusiastas de Hardware e Robótica,Não,Ocasionalmente (1 a 3 vezes por ano),Presencial,"['Hackathons', 'Networking', 'Workshops', 'Competições de gaming', 'Atividades para crianças']",Importante,26,Realidade Virtual e Aumentada,Não,"['Maior diversidade de palestrantes', 'Outro', 'Mais competições e desafios', 'Mais oportunidades de networking', 'Maior variedade de temas abordados']"
Gamers,Não,Ocasionalmente (1 a 3 vezes por ano),Híbrido (Combinação de presencial e online),['Atividades para crianças'],Muito importante,25,Internet das Coisas (IoT),Não,"['Maior diversidade de palestrantes', 'Mais competições e desafios', 'Outro', 'Mais workshops práticos', 'Melhor estrutura física']"
Produtores de Conteúdo,Não,Nunca participei,Online,"['Palestras', 'Competições de gaming', 'Networking']",Importante,23,Inteligência Artificial,Sim,"['Melhor estrutura física', 'Outro', 'Mais competições e desafios', 'Maior diversidade de palestrantes']"
Crianças Makers,Não,Nunca participei,Não tenho preferência,"['Networking', 'Competições de gaming', 'Hackathons', 'Exposições de tecnologia', 'Workshops', 'Atividades para crianças', 'Palestras']",Importante,20,Robótica,Não,"['Outro', 'Melhor estrutura física']"
